Composition:
1.00 NC_007951.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence
0.97 NC_004663.1 Bacteroides thetaiotaomicron VPI-5482 chromosome, complete genome
0.95 NC_005027.1 Rhodopirellula baltica SH 1 chromosome, complete genome
0.94 NC_003552.1 Methanosarcina acetivorans str. C2A, complete genome
0.92 NC_011663.1 Shewanella baltica OS223, complete genome
0.90 NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome
0.87 NC_009012.1 Clostridium thermocellum ATCC 27405, complete genome
0.85 NC_012032.1 Chloroflexus sp. Y-400-fl, complete genome
0.77 NZ_AOPW01000001.1 Enterococcus faecalis EnGen0310 = MMH594 Contig1, whole genome shotgun sequence
0.76 NC_008639.1 Chlorobium phaeobacteroides DSM 266, complete genome
0.76 NC_009486.1 Thermotoga petrophila RKU-1, complete genome
0.76 NC_003106.2 Sulfolobus tokodaii str. 7 DNA, complete genome
0.72 NC_012483.1 Acidobacterium capsulatum ATCC 51196, complete genome
0.72 NC_000961.1 Pyrococcus horikoshii OT3 DNA, complete genome
0.71 NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome
0.70 NC_002967.9 Treponema denticola ATCC 35405 chromosome, complete genome
0.69 NC_000917.1 Archaeoglobus fulgidus DSM 4304, complete genome
0.69 NC_004757.1 Nitrosomonas europaea ATCC 19718, complete genome
0.69 NC_010321.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete genome
0.67 NC_013926.1 Aciduliprofundum boonei T469, complete genome
0.65 NC_006526.2 Zymomonas mobilis subsp. mobilis ZM4, complete genome
0.65 NC_010803.1 Chlorobium limicola DSM 245, complete genome
0.64 NC_011126.1 Hydrogenobaculum sp. Y04AAS1, complete genome
0.64 NC_003413.1 Pyrococcus furiosus DSM 3638, complete genome
0.64 NC_009776.1 Ignicoccus hospitalis KIN4/I, complete genome
0.62 NC_005791.1 Methanococcus maripaludis strain S2, complete sequence
0.61 NC_011661.1 Dictyoglomus turgidum DSM 6724 chromosome, complete genome
0.60 NZ_AZWY01000001.1 Salinispora arenicola CNQ748 B106DRAFT_scaffold_0.1_C, whole genome shotgun sequence
0.60 NC_017454.1 Geobacter sulfurreducens KN400, complete genome
0.56 NC_002927.3 Bordetella bronchiseptica strain RB50, complete genome
0.56 NZ_CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472 genomic scaffold, whole genome shotgun sequence
0.55 NZ_KI629854.1 Porphyromonas gingivalis SJD2 genomic scaffold scaffold1, whole genome shotgun sequence
0.54 NC_011978.1 Thermotoga neapolitana DSM 4359, complete genome
0.54 NZ_CCDQ010000001.1 Akkermansia muciniphila WGS project CCDQ000000000 data, isolate Urmite, contig 00001, whole genome shotgun sequence
0.52 NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome
0.51 NC_010524.1 Leptothrix cholodnii SP-6, complete genome
